sw radius
0.954436 32.678481
0.946184 31.044557
0.941047 29.492329
0.912804 28.017713
0.905028 26.616827
0.897633 25.285986
0.880500 24.021686
0.872758 22.820602
0.866128 21.679572
0.847126 20.595593
0.817773 19.565814
0.788460 18.587523
0.761997 17.658147
0.747523 16.775240
0.722799 15.936478
0.674607 15.139654
0.637166 14.382671
0.511924 13.663537
0.443576 12.980361
0.380753 12.331343
0.335851 11.714775
0.289503 11.129037
0.262161 10.572585
0.237241 10.043956
0.212847 9.541758
0.191635 9.064670
0.173347 8.611436
0.158214 8.180865
0.147422 7.771821
0.129467 7.383230
0.119623 7.014069
0.107469 6.663365
0.098950 6.330197
