sw radius
0.996825 12.468185
0.996326 11.844775
0.993842 11.252537
0.992653 10.689910
0.990124 10.155414
0.989289 9.647643
0.988495 9.165261
0.987680 8.706998
0.986263 8.271648
0.985536 7.858066
0.985032 7.465163
0.983622 7.091905
0.982239 6.737309
0.981190 6.400444
0.978001 6.080422
0.977469 5.776401
0.975617 5.487581
0.973441 5.213201
0.972268 4.952541
0.967269 4.704914
0.965160 4.469669
0.964119 4.246185
0.961949 4.033876
0.945513 3.832182
0.940912 3.640573
0.922383 3.458544
0.890371 3.285617
0.840967 3.121336
0.840917 2.965269
0.759397 2.817006
0.513874 2.676156
0.511360 2.542348
0.380972 2.415231
0.378629 2.294469
0.370217 2.179746
0.370217 2.070758
0.302738 1.967220
0.301165 1.868859
0.149775 1.775416
0.149775 1.686646
0.149775 1.602313
0.149775 1.522198
0.125138 1.446088
0.125183 1.373783
0.125181 1.305094
0.125181 1.239839
0.125181 1.177847
0.125181 1.118955
0.081065 1.063007
0.081057 1.009857
0.081057 0.959364
0.081057 0.911396
0.081057 0.865826
0.081057 0.822535
0.081057 0.781408
0.081057 0.742338
0.080987 0.705221
0.080987 0.669960
0.080987 0.636462
0.080987 0.604639
0.080987 0.574407
0.080987 0.545686
0.080987 0.518402
0.005438 0.492482
