sw radius
0.912897 47.521370
0.895823 45.145302
0.885366 42.888037
0.864725 40.743635
0.854449 38.706453
0.846304 36.771130
0.837668 34.932574
0.831705 33.185945
0.826027 31.526648
0.818941 29.950316
0.811925 28.452800
0.805561 27.030160
0.787898 25.678652
0.777681 24.394719
0.763296 23.174983
0.749986 22.016234
0.736325 20.915422
0.703576 19.869651
0.668483 18.876169
0.636212 17.932360
0.620588 17.035742
0.608707 16.183955
0.586768 15.374757
0.567218 14.606019
0.550569 13.875719
0.511834 13.181933
0.484865 12.522836
0.468954 11.896694
0.453083 11.301859
0.435819 10.736766
0.409729 10.199928
0.379353 9.689932
0.361467 9.205435
0.344154 8.745163
0.326080 8.307905
0.309653 7.892510
0.282553 7.497884
0.255196 7.122990
0.239152 6.766841
0.210654 6.428499
0.194182 6.107074
0.182696 5.801720
0.173018 5.511634
0.140503 5.236052
0.139197 4.974250
0.134156 4.725537
0.112968 4.489260
0.110470 4.264797
0.110630 4.051558
0.098815 3.848980
