sw radius
0.995500 11.683455
0.994949 11.099282
0.992692 10.544318
0.991983 10.017102
0.991082 9.516247
0.990031 9.040435
0.989233 8.588413
0.988837 8.158993
0.982805 7.751043
0.979242 7.363491
0.968349 6.995316
0.955855 6.645550
0.904994 6.313273
0.770298 5.997609
0.711114 5.697729
0.630692 5.412842
0.569809 5.142200
0.454843 4.885090
0.413856 4.640836
0.355135 4.408794
0.343173 4.188354
0.285893 3.978936
0.267083 3.779990
0.212239 3.590990
0.204853 3.411441
0.190498 3.240869
0.166538 3.078825
0.166522 2.924884
0.147007 2.778640
0.101060 2.639708
0.100970 2.507722
0.087896 2.382336
0.086394 2.263219
0.086394 2.150058
0.069129 2.042556
0.069120 1.940428
0.069120 1.843406
0.034410 1.751236
