sw krw krn krwf krnf vw vn force pw pn wet peff
0.11222393 0.6895849 28.374388 0.16413592 21.044285 2.9170052e-05 0.0012002618 1e-05 0.3182814 0.33522556 1725206.5 0.034406858
0.10850124 0.19120249 27.418577 -0.053341373 20.219724 8.0880347e-06 0.0011598301 1e-05 0.31792532 0.33518573 1742769.5 0.036219051
0.10710247 0.16380607 27.342754 -0.020836139 20.187949 6.9291419e-06 0.0011566227 1e-05 0.31781449 0.33516192 1749768 0.036354964
0.10647263 0.15516167 27.430644 -0.006148552 20.309331 6.563476e-06 0.0011603406 1e-05 0.31780138 0.33514498 1753195.9 0.036250527
0.10615369 0.11489668 27.458617 -0.019425201 20.376104 4.8602313e-06 0.0011615238 1e-05 0.3178069 0.33513383 1754922.3 0.036266688
0.10600658 0.082171002 27.394653 -0.024581158 20.387429 3.4759062e-06 0.0011588181 1e-05 0.31783653 0.33512487 1755807.1 0.036394308
0.10591442 0.067980588 27.368087 -0.027173623 20.417651 2.8756391e-06 0.0011576943 1e-05 0.31786875 0.33511738 1756249.8 0.036448372
0.10589774 0.064026105 27.347196 -0.023658297 20.438008 2.708361e-06 0.0011568106 1e-05 0.3179142 0.33511074 1756424.4 0.036481409
0.10588092 0.053453475 27.341466 -0.030974755 20.455443 2.2611294e-06 0.0011565683 1e-05 0.31795357 0.33510547 1756380.6 0.036503118
0.10588925 0.038235445 27.344158 -0.035364452 20.47816 1.6173932e-06 0.0011566821 1e-05 0.31799108 0.33510066 1756245.9 0.036519817
0.10590685 0.019899629 27.328362 -0.042466304 20.488099 8.4177194e-07 0.0011560139 1e-05 0.31802931 0.33509629 1756047.2 0.036565395
0.10593433 0.011581856 27.338231 -0.040474326 20.500274 4.8992278e-07 0.0011564314 1e-05 0.31807218 0.33509201 1755833.6 0.036563322
0.10598527 0.010744456 27.349812 -0.037582464 20.521094 4.5450003e-07 0.0011569213 1e-05 0.31811092 0.33508862 1755572.2 0.036548964
0.10601321 -0.0027893039 27.353811 -0.042246509 20.535864 -1.1799003e-07 0.0011570904 1e-05 0.31814554 0.33508522 1755324.9 0.036561706
0.10603992 0.003758977 27.352436 -0.040237185 20.549113 1.5900806e-07 0.0011570323 1e-05 0.31818037 0.33508238 1755031.9 0.036554791
0.10606848 -0.0047629677 27.322502 -0.039141489 20.541503 -2.0147775e-07 0.001155766 1e-05 0.31822068 0.33507882 1754804.6 0.036606251
0.10613563 0.0062294672 27.311119 -0.031449048 20.54721 2.6351198e-07 0.0011552845 1e-05 0.31826195 0.33507551 1754561.2 0.036606774
0.10615848 0.0096489687 27.287105 -0.032889956 20.534329 4.0815993e-07 0.0011542687 1e-05 0.31830129 0.3350721 1754362.6 0.036634392
0.10620448 -0.015958115 27.279331 -0.039722483 20.532695 -6.7504242e-07 0.0011539399 1e-05 0.31833312 0.33506933 1754146.3 0.036679247
0.10621946 -0.027826409 27.25201 -0.047046194 20.519394 -1.1770818e-06 0.0011527842 1e-05 0.31836404 0.33506669 1753903.3 0.036732047
0.10624215 -0.037828446 27.230944 -0.049090737 20.513642 -1.6001768e-06 0.0011518931 1e-05 0.31839645 0.33506446 1753666.9 0.036774013
0.10624786 -0.031354933 27.253967 -0.042548612 20.521941 -1.3263415e-06 0.001152867 1e-05 0.3184316 0.33506185 1753436.9 0.036734167
0.10627873 -0.028022369 27.240529 -0.03956667 20.516593 -1.185371e-06 0.0011522985 1e-05 0.31846986 0.33505919 1753266.6 0.03674781
0.10630127 -0.038180383 27.19712 -0.043082867 20.493894 -1.615064e-06 0.0011504623 1e-05 0.31849178 0.33505773 1753072.5 0.036820289
0.10634851 -0.0066585433 27.191719 -0.012210256 20.492977 -2.8166228e-07 0.0011502338 1e-05 0.31848901 0.33505801 1752779.8 0.036784911
0.10637383 -0.021059491 27.236308 -0.027379365 20.528411 -8.9083513e-07 0.00115212 1e-05 0.31851876 0.335056 1752540.8 0.036744107
0.1063871 -0.02261831 27.277867 -0.028081614 20.557677 -9.5677455e-07 0.0011538779 1e-05 0.31855238 0.33505384 1752363.1 0.036690181
0.10642647 -0.013323277 27.30078 -0.027348407 20.578112 -5.6358642e-07 0.0011548472 1e-05 0.31857616 0.33505246 1752141.1 0.036646874
0.10645333 -0.022668923 27.30908 -0.032635122 20.58797 -9.5891551e-07 0.0011551983 1e-05 0.31860196 0.33505076 1751983.5 0.036648279
0.10650026 -0.029076803 27.302257 -0.035697062 20.58504 -1.2299746e-06 0.0011549097 1e-05 0.31862818 0.33504891 1751861.9 0.036666058
0.11384793 -0.19927006 27.63642 -0.099607068 20.433511 -4.667107e-06 0.00064727302 5.536767e-06 0.31935526 0.33509107 1742022.2 0.036446934
0.12141342 -0.077773327 27.708857 -0.036994969 20.35863 -1.8215303e-06 0.00064896957 5.536767e-06 0.3200049 0.33513765 1731507.3 0.036191124
0.12912248 -0.02367393 27.83351 -0.02540741 20.322654 -5.5446747e-07 0.00065188906 5.536767e-06 0.32057119 0.33518767 1720318.1 0.0359585
0.13683633 0.074913943 27.455428 0.021866961 19.932504 1.7545606e-06 0.000643034 5.536767e-06 0.32112324 0.33523359 1709123.2 0.036323558
0.14452809 0.083731229 27.347722 0.028060188 19.811819 1.9610704e-06 0.00064051142 5.536767e-06 0.32156762 0.3352866 1697493.8 0.036454503
0.15223314 -0.01709523 26.336481 -0.068804064 19.098638 -4.0038763e-07 0.00061682711 5.536767e-06 0.32192324 0.33534492 1685058.8 0.037994808
0.15996751 -0.24472401 26.136135 -0.25304694 18.896358 -5.7316848e-06 0.00061213482 5.536767e-06 0.32219138 0.33541095 1671784.3 0.038622846
0.16136968 -0.054874497 26.205586 -0.094529987 18.885106 -1.2852164e-06 0.00061376143 5.536767e-06 0.32214919 0.33544508 1667149.2 0.038239877
0.16106726 0.19695713 26.302256 0.10004245 18.954016 4.612936e-06 0.00061602555 5.536767e-06 0.32205755 0.33545673 1666478 0.037736969
0.16091166 -0.010857829 26.133282 -0.060741505 18.840909 -2.5430137e-07 0.00061206799 5.536767e-06 0.32201431 0.33546398 1665718.3 0.038281286
0.16082644 0.016455368 26.252549 -0.039778786 18.919033 3.8540143e-07 0.00061486135 5.536767e-06 0.32199851 0.33546849 1665088.6 0.038067678
0.1607826 0.11707246 26.22536 0.044477073 18.927497 2.7419559e-06 0.00061422456 5.536767e-06 0.32196364 0.33547513 1664373.4 0.037961566
0.16081363 0.0084575429 26.008132 -0.053489132 18.774646 1.9808424e-07 0.00060913686 5.536767e-06 0.32194963 0.33547955 1663593.7 0.038437013
0.16080514 -0.021921962 26.07231 -0.06853616 18.831333 -5.1343461e-07 0.00061063996 5.536767e-06 0.32193603 0.33548314 1662931.2 0.038387144
0.16079927 -0.047003322 26.123267 -0.07965239 18.867898 -1.1008655e-06 0.00061183342 5.536767e-06 0.32193453 0.33548547 1662316.5 0.038349053
0.16080005 -0.0048839265 26.275625 -0.056259512 18.973 -1.1438652e-07 0.00061540181 5.536767e-06 0.32193753 0.33548654 1661838.1 0.038065161
0.16080684 -0.00085385147 26.255946 -0.053336021 18.957434 -1.9998068e-08 0.0006149409 5.536767e-06 0.32193972 0.33548729 1661480.9 0.03808785
0.1608073 0.005453587 26.208659 -0.050153216 18.916201 1.2772854e-07 0.00061383339 5.536767e-06 0.32194309 0.33548792 1661178.4 0.038147391
0.16080437 -0.0078540035 26.100302 -0.053734618 18.844897 -1.8394873e-07 0.00061129558 5.536767e-06 0.32194084 0.33549004 1660796.3 0.038325265
0.16079511 0.071024243 26.182229 -0.013159177 18.884173 1.6634599e-06 0.00061321438 5.536767e-06 0.32194021 0.33549058 1660462.1 0.038090518
0.1607968 0.13543817 26.241843 0.031845573 18.914419 3.1720993e-06 0.00061461061 5.536767e-06 0.32193635 0.33549162 1660194 0.037911413
0.16079773 0.063701697 26.234781 -0.0075678054 18.921159 1.4919584e-06 0.00061444521 5.536767e-06 0.32191893 0.33549427 1659900.8 0.038025007
0.16079835 0.012525225 26.197951 -0.036617517 18.894164 2.9335348e-07 0.00061358261 5.536767e-06 0.32192014 0.33549506 1659592.5 0.038152683
0.16080205 0.01950454 26.159026 -0.019947393 18.859957 4.5681613e-07 0.00061267095 5.536767e-06 0.32192502 0.33549544 1659328.8 0.038199241
0.16080699 0.064481318 26.155412 0.015621362 18.849593 1.5102179e-06 0.0006125863 5.536767e-06 0.32191515 0.33549746 1659032.7 0.03813898
0.16080406 0.081066347 26.097092 0.028711559 18.796727 1.8986561e-06 0.00061122039 5.536767e-06 0.32190015 0.33550001 1658763.6 0.038199784
0.16080761 0.00030779216 26.04434 -0.043760539 18.780529 7.2088048e-09 0.00060998487 5.536767e-06 0.32189963 0.33550142 1658509 0.038395605
0.16082089 -0.018081015 26.004707 -0.060642957 18.750824 -4.2347574e-07 0.00060905664 5.536767e-06 0.3219094 0.33550135 1658261.1 0.038481332
